公司代码 ,公司简称 ,代码,简称,上市日期,Symbol
600343,  航天动力,600343,  航天动力,  2003-04-08,600343.SS
600345,  长江通信,600345,  长江通信,  2000-12-22,600345.SS
600346,  恒力石化,600346,  恒力石化,  2001-08-20,600346.SS
600348,  华阳股份,600348,  华阳股份,  2003-08-21,600348.SS
600350,  山东高速,600350,  山东高速,  2002-03-18,600350.SS
600351,  亚宝药业,600351,  亚宝药业,  2002-09-26,600351.SS
600352,  浙江龙盛,600352,  浙江龙盛,  2003-08-01,600352.SS
600353,  旭光电子,600353,  旭光电子,  2002-11-20,600353.SS
600354,  *ST敦种,600354,  *ST敦种,  2004-01-15,600354.SS
600355,  精伦电子,600355,  精伦电子,  2002-06-13,600355.SS
600356,  恒丰纸业,600356,  恒丰纸业,  2001-04-19,600356.SS
600358,  *ST联合,600358,  *ST联合,  2000-09-22,600358.SS
600359,  新农开发,600359,  新农开发,  1999-04-29,600359.SS
600360,  华微电子,600360,  华微电子,  2001-03-16,600360.SS
600361,  华联综超,600361,  华联综超,  2001-11-29,600361.SS
600362,  江西铜业,600362,  江西铜业,  2002-01-11,600362.SS
600363,  联创光电,600363,  联创光电,  2001-03-29,600363.SS
600365,  ST通葡,600365,  ST通葡,  2001-01-15,600365.SS
600366,  宁波韵升,600366,  宁波韵升,  2000-10-30,600366.SS
600367,  红星发展,600367,  红星发展,  2001-03-20,600367.SS
600368,  五洲交通,600368,  五洲交通,  2000-12-21,600368.SS
600369,  西南证券,600369,  西南证券,  2001-01-09,600369.SS
600370,  三房巷,600370,  三房巷,  2003-03-06,600370.SS
600371,  万向德农,600371,  万向德农,  2002-09-16,600371.SS
600372,  中航电子,600372,  中航电子,  2001-07-06,600372.SS
600373,  中文传媒,600373,  中文传媒,  2002-03-04,600373.SS
600375,  汉马科技,600375,  汉马科技,  2003-04-01,600375.SS
600376,  首开股份,600376,  首开股份,  2001-03-12,600376.SS
600377,  宁沪高速,600377,  宁沪高速,  2001-01-16,600377.SS
600378,  昊华科技,600378,  昊华科技,  2001-01-11,600378.SS
600379,  宝光股份,600379,  宝光股份,  2002-01-16,600379.SS
600380,  健康元,600380,  健康元,  2001-06-08,600380.SS
600381,  青海春天,600381,  青海春天,  2001-05-08,600381.SS
600382,  广东明珠,600382,  广东明珠,  2001-01-18,600382.SS
600383,  金地集团,600383,  金地集团,  2001-04-12,600383.SS
600385,  ST金泰,600385,  ST金泰,  2001-07-23,600385.SS
600386,  北巴传媒,600386,  北巴传媒,  2001-02-16,600386.SS
600387,  海越能源,600387,  海越能源,  2004-02-18,600387.SS
600388,  龙净环保,600388,  龙净环保,  2000-12-29,600388.SS
600389,  江山股份,600389,  江山股份,  2001-01-10,600389.SS
600390,  五矿资本,600390,  五矿资本,  2001-01-15,600390.SS
600391,  航发科技,600391,  航发科技,  2001-12-12,600391.SS
600392,  盛和资源,600392,  盛和资源,  2003-05-29,600392.SS
600393,  粤泰股份,600393,  粤泰股份,  2001-03-19,600393.SS
600395,  盘江股份,600395,  盘江股份,  2001-05-31,600395.SS
600396,  金山股份,600396,  金山股份,  2001-03-28,600396.SS
600397,  安源煤业,600397,  安源煤业,  2002-07-02,600397.SS
600398,  海澜之家,600398,  海澜之家,  2000-12-28,600398.SS
600399,  ST抚钢,600399,  ST抚钢,  2000-12-29,600399.SS
600400,  红豆股份,600400,  红豆股份,  2001-01-08,600400.SS
600403,  大有能源,600403,  大有能源,  2003-10-09,600403.SS
600405,  动力源,600405,  动力源,  2004-04-01,600405.SS
600406,  国电南瑞,600406,  国电南瑞,  2003-10-16,600406.SS
600408,  ST安泰,600408,  ST安泰,  2003-02-12,600408.SS
600409,  三友化工,600409,  三友化工,  2003-06-18,600409.SS
600410,  华胜天成,600410,  华胜天成,  2004-04-27,600410.SS
600415,  小商品城,600415,  小商品城,  2002-05-09,600415.SS
600416,  *ST湘电,600416,  *ST湘电,  2002-07-18,600416.SS
600418,  江淮汽车,600418,  江淮汽车,  2001-08-24,600418.SS
600419,  天润乳业,600419,  天润乳业,  2001-06-28,600419.SS
600420,  现代制药,600420,  现代制药,  2004-06-16,600420.SS
600421,  ST华嵘,600421,  ST华嵘,  2004-06-07,600421.SS
600422,  昆药集团,600422,  昆药集团,  2000-12-06,600422.SS
600423,  ST柳化,600423,  ST柳化,  2003-07-17,600423.SS
600425,  青松建化,600425,  青松建化,  2003-07-24,600425.SS
600426,  华鲁恒升,600426,  华鲁恒升,  2002-06-20,600426.SS
600428,  中远海特,600428,  中远海特,  2002-04-18,600428.SS
600429,  三元股份,600429,  三元股份,  2003-09-15,600429.SS
600433,  冠豪高新,600433,  冠豪高新,  2003-06-19,600433.SS
