板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,Symbol
主板,内蒙古远兴能源股份有限公司,INNER MONGOLIA YUAN XING ENERGY COMPANY LIMITED,内蒙古自治区鄂尔多斯市东胜区鄂托克西街博源大厦12层,000683,远兴能源,1997-01-31,"3,744,884,991","3,399,694,404",,,,0,0,华北,内蒙古,鄂尔多斯市,C 制造业,www.yuanxing.com,000683.SZ
主板,中山公用事业集团股份有限公司,"ZHONGSHAN PUBLIC UTILITIES Group CO.,LTD.",广东省中山市兴中道十八号财兴大厦北座,000685,中山公用,1997-01-23,"1,475,111,351","1,253,229,908",,,,0,0,华南,广东,中山市,D 水电煤气,www.zpug.net,000685.SZ
主板,东北证券股份有限公司,"NORTHEAST SECURITIES CO.,LTD.",吉林省长春市生态大街6666号,000686,东北证券,1997-02-27,"2,340,452,915","2,340,452,915",,,,0,0,东北,吉林,长春市,J 金融业,www.nesc.cn,000686.SZ
主板,华讯方舟股份有限公司,"Huaxun Fangzhou Co.,Ltd",河北省保定市安新县旅游东路67号B3305,000687,*ST华讯,1997-02-21,"766,199,362","752,864,376",,,,0,0,华北,河北,保定市,C 制造业,www.huaxunchina.com.cn,000687.SZ
主板,国城矿业股份有限公司,"Guocheng Mining CO.,LTD",重庆市涪陵江东群沱子路31号,000688,国城矿业,1997-01-20,"1,137,301,887","1,137,297,492",,,,0,0,西南,重庆,重庆市,B 采矿业,www.jianxin0688.com,000688.SZ
主板,广东宝丽华新能源股份有限公司,"GUANGDONG  BAOLIHUA  NEW  ENERGY  STOCK  CO., LTD.",广东省梅州市梅县华侨城香港花园宝丽华综合大楼,000690,宝新能源,1997-01-28,"2,175,887,862","2,104,970,581",,,,0,0,华南,广东,梅州市,D 水电煤气,www.baolihua.com.cn,000690.SZ
主板,海南亚太实业发展股份有限公司,HAINAN YATAI INDUSTRIAL DEVELOPMENT  CO.，LTD.,甘肃省兰州市兰州新区亚太工业科技总部基地A1号办公楼,000691,亚太实业,1997-02-28,"323,270,000","290,486,300",,,,0,0,西北,甘肃,兰州市,C 制造业,www.ytsy000691.com,000691.SZ
主板,沈阳惠天热电股份有限公司,"SHENYANG HUITIAN THERMAL POWER CO.,LTD",辽宁省沈阳市沈河区热闹路47号,000692,惠天热电,1997-02-27,"532,832,976","532,826,726",,,,0,0,东北,辽宁,沈阳市,D 水电煤气,www.htrd.cn,000692.SZ
主板,天津滨海能源发展股份有限公司,"TIANJIN BINHAI ENERGY & DEVELOPMENT CO.,LTD",天津市开发区第十一大街27号,000695,滨海能源,1997-02-18,"222,147,539","221,721,339",,,,0,0,华北,天津,天津市,C 制造业,www.binhaienergy.com,000695.SZ
主板,炼石航空科技股份有限公司,"Ligeance Aerospace Technology Co.,Ltd.",陕西省西咸新区沣西新城世纪大道55号,000697,炼石航空,1997-03-25,"671,616,059","576,888,733",,,,0,0,西北,陕西,咸阳市,C 制造业,www.LAT000697.com,000697.SZ
主板,沈阳化工股份有限公司,"SHENYANG CHEMICAL INDUSTRY CO.,LTD",辽宁省沈阳市经济技术开发区沈西三东路55号,000698,沈阳化工,1997-02-20,"819,514,395","785,690,549",,,,0,0,东北,辽宁,沈阳市,C 制造业,www.sychem.com,000698.SZ
主板,江南模塑科技股份有限公司,"JIANGNAN MOULD & PLASTIC TECHNOLOGY CO.,LTD",江苏省江阴市周庄镇长青路8号,000700,模塑科技,1997-02-28,"917,063,509","807,092,835",,,,0,0,华东,江苏,无锡市,C 制造业,www.jnmpt.com,000700.SZ
主板,厦门信达股份有限公司,XIAMEN XINDECO LTD.,福建省厦门市湖里区仙岳路4688号国贸中心A栋1101单元,000701,厦门信达,1997-02-26,"418,713,056","406,608,256",,,,0,0,华东,福建,厦门市,F 批发零售,www.xindeco.com,000701.SZ
主板,湖南正虹科技发展股份有限公司,"Hunan Zhenghong Science and Technology Develop Co., Ltd",湖南省岳阳市屈原管理区营田镇,000702,正虹科技,1997-03-18,"266,634,576","266,634,576",,,,0,0,华中,湖南,岳阳市,C 制造业,www.chinazhjt.com.cn,000702.SZ
